Origin;Destination;Migration Flow
East Asia;Central Asia;63882
East Asia;Western Asia;3040
East Asia;South Asia;117
East Asia;East Asia;781316
East Asia;South-East Asia;145264
East Asia;Oceania;278746
South-East Asia;North America;973060
South-East Asia;Central America;2493
South-East Asia;South America;3587
South-East Asia;North Africa;17576
South-East Asia;Sub-Saharan Africa;8004
South-East Asia;Northern Europe;176095
South-East Asia;Western Europe;273505
South-East Asia;Southern Europe;94531
South-East Asia;Eastern Europe;57470
South-East Asia;Central Asia;7728
South-East Asia;Western Asia;869406
South-East Asia;South Asia;59126
South-East Asia;East Asia;380388
South-East Asia;South-East Asia;1630997
South-East Asia;Oceania;333608
Oceania;North America;27137
Oceania;Central America;349
Oceania;South America;1436
Oceania;North Africa;272
Oceania;Sub-Saharan Africa;4475
Oceania;Northern Europe;46514
Oceania;Western Europe;28276
Oceania;Southern Europe;72232
Oceania;Eastern Europe;24229
Oceania;Central Asia;4245
Oceania;Western Asia;11371
Oceania;South Asia;5
Oceania;East Asia;5659
Oceania;South-East Asia;11883
Oceania;Oceania;190706
